generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
20,78.0,40.0,-15.0,56.0,126.0,137.4,159.95,40.75,17.85,-29.5,15.0,153.0,83.0,-6.0,-43.0,-128.0,66.3,84.35,117.3,79.4,50.55,-44.3,99.95,-74.85,109.65,0.0,0.0,0.0,0.0,0.0,3.83157894737,9868.47105263,3741.77631579,19.3973684211,215.526315789,0.0,0.0,0.0,0.0,0.0,858.947368421,451.484210526,2979.60789474,451.484210526,9353.93684211,1240.36578947,4530.22105263,3015.73421053,1472.66052632,2611.39736842
21,78.0,40.0,-15.0,56.0,126.0,137.8,139.65,53.25,16.95,-26.5,15.0,153.0,83.0,-6.0,-43.0,-120.0,60.5,99.25,111.5,53.0,49.5,-50.4,95.4,-76.9,104.4,0.0,0.0,0.0,0.0,0.0,4.16842105263,10736.0289474,4070.72368421,21.1026315789,234.473684211,0.0,0.0,0.0,0.0,0.0,1263.15789474,663.947368421,4381.77631579,663.947368421,13755.7894737,1215.0,4358.77894737,2892.88421053,1514.2,2584.04210526
22,78.0,40.0,-15.0,56.0,126.0,137.8,139.65,53.25,16.95,-26.5,15.0,153.0,83.0,-6.0,-43.0,-124.0,63.4,91.8,114.4,66.2,46.35,-68.7,81.75,-83.05,88.65,0.0,0.0,0.0,0.0,0.0,4.16842105263,10736.0289474,4070.72368421,21.1026315789,234.473684211,0.0,0.0,0.0,0.0,0.0,1077.89473684,566.568421053,3739.11578947,566.568421053,11738.2736842,1124.97631579,3374.43157895,2262.82894737,1585.73421053,2153.81842105
23,78.0,40.0,-15.0,56.0,126.0,137.6,149.8,47.0,17.4,-28.0,15.0,153.0,83.0,-6.0,-43.0,-124.0,63.4,91.8,114.4,66.2,37.5,-66.8,80.3,-68.3,99.3,0.0,0.0,0.0,0.0,0.0,4.04210526316,10410.6947368,3947.36842105,20.4631578947,227.368421053,0.0,0.0,0.0,0.0,0.0,1077.89473684,566.568421053,3739.11578947,566.568421053,11738.2736842,2010.78947368,4234.48421053,3126.53684211,2430.32631579,2212.01052632
24,78.0,40.0,-15.0,56.0,126.0,137.2,170.1,34.5,18.3,-31.0,15.0,153.0,83.0,-6.0,-43.0,-128.0,66.3,84.35,117.3,79.4,37.5,-66.8,80.3,-68.3,99.3,0.0,0.0,0.0,0.0,0.0,3.53684210526,9109.35789474,3453.94736842,17.9052631579,198.947368421,0.0,0.0,0.0,0.0,0.0,858.947368421,451.484210526,2979.60789474,451.484210526,9353.93684211,2010.78947368,4234.48421053,3126.53684211,2430.32631579,2212.01052632
25,78.0,40.0,-15.0,56.0,126.0,136.8,190.4,22.0,19.2,-34.0,15.0,153.0,83.0,-6.0,-43.0,-132.0,69.2,76.9,120.2,92.6,36.45,-72.9,75.75,-70.35,94.05,0.0,0.0,0.0,0.0,0.0,2.69473684211,6940.46315789,2631.57894737,13.6421052632,151.578947368,0.0,0.0,0.0,0.0,0.0,606.315789474,318.694736842,2103.25263158,318.694736842,6602.77894737,1956.57631579,3774.09473684,2815.46052632,2500.13421053,2070.26052632
26,78.0,40.0,-15.0,56.0,126.0,136.6,200.55,15.75,19.65,-35.5,15.0,153.0,83.0,-6.0,-43.0,-136.0,72.1,69.45,123.1,105.8,37.5,-66.8,80.3,-68.3,99.3,0.0,0.0,0.0,0.0,0.0,2.14736842105,5530.68157895,2097.03947368,10.8710526316,120.789473684,0.0,0.0,0.0,0.0,0.0,320.0,168.2,1110.05,168.2,3484.8,2010.78947368,4234.48421053,3126.53684211,2430.32631579,2212.01052632
27,78.0,40.0,-15.0,56.0,126.0,136.2,220.85,3.25,20.55,-38.5,15.0,153.0,83.0,-6.0,-43.0,-136.0,72.1,69.45,123.1,105.8,50.55,-44.3,99.95,-74.85,109.65,0.0,0.0,0.0,0.0,0.0,0.8,2060.45,781.25,4.05,45.0,0.0,0.0,0.0,0.0,0.0,320.0,168.2,1110.05,168.2,3484.8,1240.36578947,4530.22105263,3015.73421053,1472.66052632,2611.39736842
28,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-136.0,72.1,69.45,123.1,105.8,32.55,-68.9,77.3,-61.95,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,168.2,1110.05,168.2,3484.8,2360.15526316,4447.35789474,3403.16842105,2732.78684211,2117.36842105
29,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-128.0,66.3,84.35,117.3,79.4,26.55,-77.1,69.75,-57.65,99.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.947368421,451.484210526,2979.60789474,451.484210526,9353.93684211,2581.83947368,4136.62105263,3292.30263158,3074.97631579,1925.31315789
30,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,29.7,-58.8,83.4,-51.5,115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2803.16842105,5444.58947368,4267.2,2674.57894737,1997.43157895
31,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,18.75,-69.1,72.85,-40.85,115.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3194.40789474,5520.2,4501.81842105,2942.55526316,1705.71315789
32,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,-9.15,-97.9,44.2,-15.25,113.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990.34473684,4331.56842105,3751.11578947,2720.51315789,1003.35789474
33,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,8.85,-73.3,66.85,-28.15,120.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450.76578947,5916.32631579,4942.02894737,2728.66052632,1318.61842105
34,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,-13.05,-93.9,45.75,-6.85,121.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019.52368421,5215.35789474,4441.77631579,1978.76578947,731.628947368
35,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,-18.0,-96.0,42.75,-0.5,123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2842.10526316,5308.42105263,4500.19736842,1459.73684211,513.355263158
36,78.0,40.0,-15.0,56.0,126.0,135.15,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,0.0,-71.4,65.4,-13.4,131.4,0.0,0.0,0.0,0.0,0.0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.89473684,6794.77894737,5760.25263158,1868.46315789,657.094736842
37,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,0.0,-71.4,65.4,-13.4,131.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.89473684,6794.77894737,5760.25263158,1868.46315789,657.094736842
38,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,6.0,-63.2,72.95,-17.7,133.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3751.57894737,7007.11578947,5940.26052632,1926.85263158,677.628947368
39,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,6.0,-63.2,72.95,-17.7,133.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3751.57894737,7007.11578947,5940.26052632,1926.85263158,677.628947368
40,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,12.0,-55.0,80.5,-22.0,136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3789.47368421,7077.89473684,6000.26315789,1946.31578947,684.473684211
41,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,24.0,-38.6,95.6,-30.6,141.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.89473684,6794.77894737,5760.25263158,1868.46315789,657.094736842
42,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,0.0,-71.4,65.4,-13.4,131.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.89473684,6794.77894737,5760.25263158,1868.46315789,657.094736842
43,78.0,40.0,-15.0,56.0,126.0,136.0,231.0,-3.0,21.0,-40.0,15.0,153.0,83.0,-6.0,-43.0,-140.0,75.0,62.0,126.0,119.0,-6.0,-79.6,57.85,-9.1,128.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3448.42105263,6440.88421053,5460.23947368,1771.14736842,622.871052632
