popsize,genenumber,generationnumber,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4
100,5,52,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.0
100,5,53,0.0,0.004321373782642578,0.004321373782642578,-0.004364805402450088,0.0
100,5,54,-0.004364805402450088,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578
100,5,55,-0.004364805402450088,0.004321373782642578,0.004321373782642578,0.0,0.0
100,5,56,-0.004364805402450088,0.004321373782642578,0.004321373782642578,-0.00877392430750515,0.004321373782642578
100,5,57,0.0,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578
100,5,58,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,59,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,60,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578
100,5,61,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578
100,5,62,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,63,0.0,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,64,0.004321373782642578,0.004321373782642578,0.004321373782642578,-0.013228265733755159,0.004321373782642578
100,5,65,0.0,0.004321373782642578,0.004321373782642578,-0.013228265733755159,0.004321373782642578
100,5,66,-0.00877392430750515,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,67,0.0,0.004321373782642578,0.004321373782642578,0.0,0.004321373782642578
100,5,68,-0.004364805402450088,0.004321373782642578,0.004321373782642578,-0.00877392430750515,0.004321373782642578
100,5,69,0.0,0.004321373782642578,0.004321373782642578,-0.004364805402450088,0.004321373782642578
100,5,70,0.0,0.004321373782642578,0.004321373782642578,-0.004364805402450088,0.004321373782642578
100,5,71,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578,0.004321373782642578
