generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
20,141.81,11.2166666667,-4.43,-53.23,-6.25333333333,60.4133333333,161.38,4.56333333333,1.20666666667,7.00666666667,20.0966666667,-4.51666666667,104.836666667,-13.3133333333,46.9866666667,-11.71,5.01,9.19666666667,108.343333333,17.2966666667,-2.18,17.96,46.7366666667,33.28,129.906666667,6293.04404682,5580.41109253,4301.13555184,4208.24458194,6981.43393534,8272.01587514,5150.67785953,5530.01269788,5522.44544036,4725.88624303,3433.3919621,2213.07329989,3410.71236343,6692.71085842,3413.6051728,2686.32698997,5234.51829431,7148.64681159,2175.47704571,7703.06554069,5834.71665552,6654.75424749,5109.46554069,8003.8477592,5754.39928651
21,135.063333333,7.88333333333,-8.26333333333,-44.7366666667,2.64333333333,49.1633333333,159.97,7.79333333333,-3.07666666667,11.66,24.3566666667,-1.37,107.03,-15.36,40.7166666667,-12.58,0.156666666667,15.49,105.02,21.4066666667,-7.60666666667,12.8166666667,46.3466666667,29.87,124.343333333,5574.84881828,5432.74554069,3887.5725641,3909.71303233,5618.97269788,8878.44480491,4787.03923077,5537.71634337,5208.78005574,4689.78367893,3179.72186176,2278.83588629,3147.07936455,5713.74956522,3739.53483835,2973.70929766,5849.03557414,6948.3577592,2145.23036789,7351.27888517,5605.38992196,6620.35758082,4654.90283166,7098.36765886,5620.45363434
22,140.353333333,1.86666666667,-9.20666666667,-48.9933333333,1.59666666667,51.2866666667,163.746666667,6.43333333333,-3.19333333333,11.3233333333,20.5766666667,-0.356666666667,109.236666667,-11.8633333333,38.4866666667,-13.7066666667,-4.47666666667,16.09,103.023333333,14.7966666667,-6.69666666667,21.4033333333,47.7933333333,32.5666666667,125.8,5287.95500557,4758.0490524,3739.52236343,4568.25413601,6065.28493868,8277.72356745,4639.73493868,5470.17279822,4958.39059086,4713.1693534,2615.79677815,2104.08306577,3196.14112598,5092.89430323,3981.40115942,3217.2380825,6155.42754738,6403.19254181,2319.0596544,6380.38995541,5842.42607581,6175.84681159,4843.76985507,7820.64102564,6406.66220736
23,139.0,5.21,-5.99,-40.82,1.14666666667,44.4833333333,163.253333333,6.08666666667,-5.8,11.9233333333,18.74,0.116666666667,110.01,-8.52,41.89,-11.87,-8.56666666667,15.8033333333,105.44,13.8066666667,-2.66666666667,14.57,52.4833333333,27.0566666667,126.446666667,5503.50501672,5321.1564214,4396.31762542,5241.53939799,5879.57707915,7907.03985507,4783.40717949,5301.55768116,4674.74916388,4640.53925307,2526.36695652,1852.7990524,2886.41795987,5080.35745819,3502.78719064,2947.22384615,5967.91861761,7041.39597547,2110.72882943,6926.91901895,5331.98885173,5632.94157191,4609.15356745,6467.2777146,6794.15433668
24,139.906666667,1.13333333333,-11.0833333333,-37.3066666667,5.98333333333,39.2566666667,164.253333333,0.836666666667,-5.27666666667,20.7733333333,21.4166666667,0.71,114.94,-14.2766666667,45.4566666667,-14.14,-7.70666666667,9.17333333333,103.303333333,17.4966666667,-6.24666666667,17.9133333333,54.8933333333,28.1733333333,125.25,4902.59995541,4781.31995541,4053.2539019,4726.0193534,5102.7990524,8315.3151728,4272.27005574,4805.10701226,4377.17738016,4487.66751394,2673.01309922,1908.40725753,2886.20374582,5504.42821628,3256.40948718,3059.36494983,6037.92035674,7384.64544036,2292.91437012,7025.28761427,5526.20651059,5834.8954738,4733.94845039,7413.92303233,6452.80351171
25,144.7,-4.38,-14.5233333333,-34.5,11.52,54.1633333333,166.946666667,1.9,-3.24666666667,19.2033333333,23.5033333333,1.98,116.87,-17.2233333333,50.7166666667,-14.7233333333,-11.88,10.8233333333,104.983333333,14.7833333333,-8.66,16.3433333333,52.8266666667,32.0433333333,121.986666667,4204.39130435,4418.36347826,3628.05630992,3757.46822742,3901.27384615,7675.1003233,4166.26470457,4282.10367893,5037.29681159,3927.31303233,2657.56855072,1816.76214047,2813.16364548,6395.59878484,2891.23383501,2991.76600892,6443.58421405,6996.77470457,2273.86259755,6949.89604236,5012.72013378,5891.79811594,4791.42136009,7707.18540691,6141.23727982
26,149.063333333,-3.95333333333,-10.79,-37.0133333333,2.64666666667,53.5166666667,166.7,5.76,0.62,11.5,22.1433333333,3.88333333333,122.14,-19.5866666667,50.9133333333,-13.1033333333,-12.4666666667,6.26,105.523333333,11.7766666667,-11.3066666667,9.32666666667,51.62,32.1466666667,115.443333333,4842.89564103,4495.14162765,4302.5209699,4490.92958751,4632.73761427,8283.80239688,4453.56856187,4641.23317726,5451.86849498,4028.53846154,2825.43423634,1638.80574136,2537.23785953,7209.48075808,2959.37039019,3197.65818283,5780.61092531,6243.7716388,2412.24360089,6068.94995541,4181.16985507,5367.45814939,4263.21297659,6971.08209588,4877.44493868
27,145.973333333,-9.56333333333,-8.45,-37.0533333333,1.19,47.6366666667,162.323333333,13.7166666667,3.18333333333,13.93,20.21,2.17,125.87,-20.9766666667,53.6166666667,-12.07,-23.0766666667,9.71333333333,104.716666667,10.4366666667,-7.26333333333,0.353333333333,50.47,26.2466666667,110.82,5190.42738016,4441.41069119,4061.45234114,3510.77975474,4034.76311037,10106.0180491,4275.50380156,4965.17363434,5557.32079153,3854.22585284,2565.97247492,1457.78705686,2324.90277592,7793.13992196,2706.13015608,2617.68404682,6159.85028986,6948.24530658,2132.25055741,5243.48426979,3329.22473802,4630.4767447,3829.84859532,6484.03259755,3852.39558528
28,151.606666667,-18.51,-13.1166666667,-37.99,5.1,52.7266666667,162.096666667,18.96,0.816666666667,14.0,16.9666666667,1.41333333333,122.77,-20.1866666667,51.3166666667,-15.0833333333,-17.89,14.9133333333,101.473333333,14.4366666667,-9.31666666667,4.31,49.6033333333,32.75,113.09,4388.11901895,3596.27080268,3254.57831661,2298.69889632,3093.82943144,10304.105641,4200.7364437,5388.21244147,5685.6351728,4262.98996656,2645.26309922,1522.223233,2298.30478261,6766.07875139,2741.19370123,2895.15356745,6284.0112709,6512.99580825,1996.30363434,4731.73176143,3616.53149387,5088.93033445,3770.7551728,6560.79013378,4296.9383612
29,151.743333333,-20.0033333333,-10.64,-39.21,3.14333333333,57.8133333333,157.793333333,17.7666666667,4.9,12.0633333333,19.07,0.906666666667,124.383333333,-18.39,51.55,-12.22,-25.3166666667,19.97,100.486666667,17.12,-10.5633333333,1.44666666667,53.04,33.0,116.31,4796.20480491,3452.65216276,3749.0070903,2441.74505017,3393.25363434,10762.0319287,4438.88691193,5812.66109253,5894.77257525,4558.58125975,2207.22919732,1588.73373467,2318.56493868,6289.29555184,2874.64966555,3046.27250836,6529.16025641,6934.58438127,1714.4780825,4278.3935786,3534.50768116,5054.43527313,3532.42648829,5813.06354515,4180.72966555
